rank,block_name,block_score,block_index
1,model.layers.24,97.85916900634766,24
2,model.layers.25,97.91448211669922,25
3,model.layers.28,98.96603393554688,28
4,model.layers.26,99.14361572265625,26
5,model.layers.29,99.95664978027344,29
6,model.layers.27,100.71481323242188,27
7,model.layers.23,101.29633331298828,23
8,model.layers.22,103.89877319335938,22
9,model.layers.20,107.9444808959961,20
10,model.layers.19,109.41691589355469,19
11,model.layers.21,110.7667465209961,21
12,model.layers.30,111.39141082763672,30
13,model.layers.18,116.39616394042969,18
14,model.layers.17,121.74762725830078,17
15,model.layers.13,124.17271423339844,13
16,model.layers.16,124.24388885498047,16
17,model.layers.14,125.02903747558594,14
18,model.layers.15,127.11626434326172,15
19,model.layers.12,127.51917266845703,12
20,model.layers.11,129.7245635986328,11
21,model.layers.10,130.36758422851562,10
22,model.layers.9,143.69944763183594,9
23,model.layers.8,151.6800537109375,8
24,model.layers.7,162.66317749023438,7
25,model.layers.31,168.93807983398438,31
26,model.layers.6,171.24783325195312,6
27,model.layers.5,175.35775756835938,5
28,model.layers.4,193.9953155517578,4
29,model.layers.3,214.95484924316406,3
30,model.layers.0,219.663330078125,0
31,model.layers.2,225.7126922607422,2
32,model.layers.1,236.47122192382812,1
